R;G;B;I;H;S;output
156;166;188;170;2.404778368;0.082352941;1
130;142;63;111.6666667;1.188607706;0.435820896;1
130;142;63;111.6666667;1.188607706;0.435820896;1
130;142;63;111.6666667;1.188607706;0.435820896;1
156;178;113;149;1.386387;0.241610738;1
156;166;113;145;1.225699176;0.220689655;1
156;166;188;170;2.404778368;0.082352941;1
156;178;113;149;1.386387;0.241610738;1
156;166;113;145;1.225699176;0.220689655;1
156;166;188;170;2.404778368;0.082352941;1
156;178;113;149;1.386387;0.241610738;1
156;166;113;145;1.225699176;0.220689655;1
156;166;188;170;2.404778368;0.082352941;1
216;201;125;180.6666667;0.892861327;0.308118081;2
156;118;75;116.3333333;0.559222604;0.35530086;2
156;107;150;137.6666667;0.934714524;0.222760291;2
208;201;100;169.6666667;0.989251224;0.410609037;1
130;118;175;141;1.893376529;0.163120567;2
130;118;163;137;1.833976932;0.138686131;2
147;142;138;142.3333333;0.459536526;0.030444965;2
147;130;138;138.3333333;0.489650043;0.060240964;2
147;130;150;142.3333333;1.186721627;0.086651054;2
147;142;150;146.3333333;1.427448758;0.029612756;2
121;118;175;138;2.047617068;0.144927536;2
138;118;163;139.6666667;1.634858576;0.155131265;2
130;107;163;133.3333333;1.673531615;0.1975;2
130;118;150;132.6666667;1.714143896;0.110552764;2
130;118;163;137;1.833976932;0.138686131;2
130;118;163;137;1.833976932;0.138686131;2
147;142;125;138;0.828685299;0.094202899;2
138;118;150;135.3333333;1.427448758;0.128078818;2
147;130;150;142.3333333;1.186721627;0.086651054;2
182;154;138;158;0.367421905;0.126582278;2
173;154;138;155;0.474151948;0.109677419;2
173;142;138;151;0.104589731;0.086092715;2
164;154;150;156;0.281034902;0.038461538;2
173;166;150;163;0.745788401;0.079754601;2
173;154;150;159;0.163484972;0.056603774;2
156;142;150;149.3333333;0.605891119;0.049107143;2
156;142;163;153.6666667;1.380670723;0.075921909;2
147;142;150;146.3333333;1.427448758;0.029612756;2
156;142;150;149.3333333;0.605891119;0.049107143;2
156;154;150;153.3333333;0.713724379;0.02173913;2
156;154;138;149.3333333;0.945662574;0.075892857;2
190;178;88;152;0.939364291;0.421052632;2
190;189;100;159.6666667;1.037521592;0.373695198;2
138;107;113;119.3333333;0.183489491;0.103351955;2
130;107;113;116.6666667;0.254187853;0.082857143;2
